sheet,sku,price,Sheet,SKU,Preço,_merge,price_diff
FEMININO,HOLOGRAMME,14.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,2.0
FEMININO,HOLOGRAMME,14.0,VISEIRAS,HOLOGRAMME,2.0,both,12.0
FEMININO,HOLOGRAMME,14.0,COWBOY,HOLOGRAMME,8.0,both,6.0
FEMININO,HOLOGRAMME,15.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-50.0
FEMININO,HOLOGRAMME,15.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,3.0
FEMININO,HOLOGRAMME,15.0,VISEIRAS,HOLOGRAMME,2.0,both,13.0
FEMININO,HOLOGRAMME,15.0,COWBOY,HOLOGRAMME,8.0,both,7.0
FEMININO,HOLOGRAMME,16.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-49.0
FEMININO,HOLOGRAMME,16.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,4.0
FEMININO,HOLOGRAMME,16.0,VISEIRAS,HOLOGRAMME,2.0,both,14.0
FEMININO,HOLOGRAMME,16.0,COWBOY,HOLOGRAMME,8.0,both,8.0
FEMININO,HOLOGRAMME,17.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-48.0
FEMININO,HOLOGRAMME,17.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,5.0
FEMININO,HOLOGRAMME,17.0,VISEIRAS,HOLOGRAMME,2.0,both,15.0
FEMININO,HOLOGRAMME,17.0,COWBOY,HOLOGRAMME,8.0,both,9.0
FEMININO,HOLOGRAMME,18.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-47.0
FEMININO,HOLOGRAMME,18.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,6.0
FEMININO,HOLOGRAMME,18.0,VISEIRAS,HOLOGRAMME,2.0,both,16.0
FEMININO,HOLOGRAMME,18.0,COWBOY,HOLOGRAMME,8.0,both,10.0
FEMININO,HOLOGRAMME,4.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-61.0
FEMININO,HOLOGRAMME,4.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-8.0
FEMININO,HOLOGRAMME,4.0,VISEIRAS,HOLOGRAMME,2.0,both,2.0
FEMININO,HOLOGRAMME,4.0,COWBOY,HOLOGRAMME,8.0,both,-4.0
FEMININO,HOLOGRAMME,21.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-44.0
FEMININO,HOLOGRAMME,21.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,9.0
FEMININO,HOLOGRAMME,21.0,VISEIRAS,HOLOGRAMME,2.0,both,19.0
FEMININO,HOLOGRAMME,21.0,COWBOY,HOLOGRAMME,8.0,both,13.0
CERIMÓNIA,HOLOGRAMME,5.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-60.0
CERIMÓNIA,HOLOGRAMME,5.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-7.0
CERIMÓNIA,HOLOGRAMME,5.0,VISEIRAS,HOLOGRAMME,2.0,both,3.0
CERIMÓNIA,HOLOGRAMME,5.0,COWBOY,HOLOGRAMME,8.0,both,-3.0
CERIMÓNIA,HOLOGRAMME,6.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-59.0
CERIMÓNIA,HOLOGRAMME,6.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-6.0
CERIMÓNIA,HOLOGRAMME,6.0,VISEIRAS,HOLOGRAMME,2.0,both,4.0
CERIMÓNIA,HOLOGRAMME,6.0,COWBOY,HOLOGRAMME,8.0,both,-2.0
CERIMÓNIA,HOLOGRAMME,7.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-58.0
CERIMÓNIA,HOLOGRAMME,7.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,-5.0
CERIMÓNIA,HOLOGRAMME,7.0,VISEIRAS,HOLOGRAMME,2.0,both,5.0
CERIMÓNIA,HOLOGRAMME,7.0,COWBOY,HOLOGRAMME,8.0,both,-1.0
CERIMÓNIA,HOLOGRAMME,13.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-52.0
CERIMÓNIA,HOLOGRAMME,13.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,1.0
CERIMÓNIA,HOLOGRAMME,13.0,VISEIRAS,HOLOGRAMME,2.0,both,11.0
CERIMÓNIA,HOLOGRAMME,13.0,COWBOY,HOLOGRAMME,8.0,both,5.0
CERIMÓNIA,HOLOGRAMME,14.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-51.0
CERIMÓNIA,HOLOGRAMME,14.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,2.0
CERIMÓNIA,HOLOGRAMME,14.0,VISEIRAS,HOLOGRAMME,2.0,both,12.0
CERIMÓNIA,HOLOGRAMME,14.0,COWBOY,HOLOGRAMME,8.0,both,6.0
CERIMÓNIA,HOLOGRAMME,15.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-50.0
CERIMÓNIA,HOLOGRAMME,15.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,3.0
CERIMÓNIA,HOLOGRAMME,15.0,VISEIRAS,HOLOGRAMME,2.0,both,13.0
CERIMÓNIA,HOLOGRAMME,15.0,COWBOY,HOLOGRAMME,8.0,both,7.0
CERIMÓNIA,HOLOGRAMME,16.0,BOINAS INVERNO,HOLOGRAMME,65.0,both,-49.0
CERIMÓNIA,HOLOGRAMME,16.0,BOINAS VERÃO,HOLOGRAMME,12.0,both,4.0
