sku,nome,categoria,price,priority,has_short_desc,has_long_desc,has_specs,has_tags,has_composition,completeness_score,gaps,supplier_url,can_auto_scrape
Casquette – 12448,BONÉS DE INVERNO PARA MULHERES,CERIMÓNIA,€15.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/casquette-12448/,YES
Palha – 12511,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12511/,YES
Palha – 12512,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12512/,YES
Palha – 12517,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-12517/,YES
Palha – 937,CHAPÉUS DE PALHA FEMININOS,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-art-937-241-gros-grain/,YES
Boina Clássica – 5020,BOINA CLÁSSICA / BERET,CERIMÓNIA,€0.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/beret-5020/?attribute_pa_couleur=beige-na1302,YES
Palha – 941216 Couro,CHAPÉU DE PALHA NATURAL,PALHA,€35.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/paille-941216-cuir/,YES
Panamá – 201754,CHAPEU PANAMÁ,PANAMÁ,€67.50,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/panama-201754/,YES
Panamá – 201752,CHAPEU PANAMÁ ABA CURTA,PANAMÁ,€67.50,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/panama-201752-ecru/,YES
Panamá – 931,CHAPEU PANAMÁ AJUSTÁVEL,PANAMÁ,€67.50,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/panama-art-931-japonais/,YES
Chapéu – 49103,CHAPÉUS ALGODÃO ENCERADO,À PROVA D´ÁGUA,€45.00,LOW,NO,YES,YES,YES,YES,4/5,short_desc,https://hologrammeparis.com/product/chapeau-49103/,YES
SOLID,CHAPÉU UV,PROTEÇÃO SOLAR,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
SOLID,CHAPÉU UV,PROTEÇÃO SOLAR,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
SOLID,CHAPÉU UV,PROTEÇÃO SOLAR,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
SOLID,CHAPÉU UV,PROTEÇÃO SOLAR,€19.90,LOW,NO,NO,YES,YES,YES,3/5,"short_desc, long_desc",,NO
